"ATF3","ATF4","BHLHE40","CEBPB","CEBPD","DDIT3","E2F1","E2F8","ELF3","FOS","FOSB","FOSL2","GATA5","HES1","HMGA1","HMGA2","JUN","JUNB","JUND","KLF10","KLF4","KLF5","KLF6","MAFF","MAFG","MAFK","MYBL2","RBPJL","SOX11","SOX4","SOX9","YBX1","Attr_Size"
1,1,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,1089
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,0,703
1,0.5,0.5,0,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0.5,1,0.5,0,0,0,0,899
1,1,1,0,1,0.5,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.5,0.5,0,0,0,0,1,1,700
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,1,591
1,1,0,1,1,1,0.5,0.5,0.5,1,1,0,0.5,0,1,1,0,1,0,1,1,0,0,0,0,1,0.5,1,0.5,1,1,1,148
1,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0.5,0.5,0,0,208
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0.5,0.5,0.5,0,0,0,0,929
1,1,0.5,0.5,0.5,0.5,1,1,0,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0,0.5,0,0,724
0.5,1,0.5,0,1,0,0,0,0,1,1,0.5,0,0.5,0,0,1,1,1,0,0,0,1,0,0,0.5,0,0,0,0,0.5,0,317
1,1,0.5,0.5,0.5,0.5,0,0,0,1,0.5,0.5,0,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,0,1,0,0.5,0,1,663
1,1,0,0,0,0.5,1,1,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1097
1,1,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,990
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,1,368
1,1,0,0,0,0.5,1,1,1,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,200
1,1,1,0,1,0.5,0.5,0.5,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.5,0.5,0.5,0,0,0,1,1,618
1,1,0,1,1,1,0.5,0.5,0.5,1,1,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,1,0.5,1,0.5,1,1,0,134
1,1,1,0,1,1,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1,0,0,0,1,0,1,1,0.5,0,0,0,1,1,416
0.5,1,0.5,0,1,0.5,1,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0.5,1,280
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,1,622
0.5,1,0.5,0,1,0,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0,1,1,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0.5,0,85
0.5,1,0.5,0,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,0,0,1,0,1,1,0.5,0,0,0,0.5,1,304
1,1,0,1,1,1,0.5,0.5,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0.5,1,0,1,1,1,235
1,1,0,0,0,0.5,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,159
1,1,0,0,0,1,0.5,0.5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,309
1,1,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,1019
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0,0.5,0,1,643
0.5,1,0.5,0,1,0.5,1,1,0,1,1,0.5,0,0.5,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0.5,1,266
1,1,1,0,1,0.5,0,0,0.5,1,1,1,0.5,1,1,1,1,1,1,0,0,0,1,0,0.5,0.5,0,0,0,0,1,1,873
